App,Sentiment_Polarity,Sentiment_Subjectivity,Sentiment_Positivity
Google Primer,0.5,0.45,0.6666666666666666
ASUS Sound Recorder,0.4645555556,0.5283174603333334,0.6493333333333333
Cameringo Lite. Filters Camera,0.6932421875,0.48,0.6431
Candy Bomb,0.2975445632352941,0.5742535650294117,0.6388823529411765
Garden Fruit Legend,0.228125,0.5698464912105262,0.6351052631578947
HD Camera - Quick Snap Photo & Video,0.4303703703333333,0.545674603111111,0.6346111111111111
Door Lock Screen,0.4874512235277778,0.568544698,0.6247777777777778
C++ Tutorials,0.5165765766216216,0.5514264264594595,0.6115135135135136
"All Football GO- Live Score, Games",0.5122850122702702,0.5001351351351351,0.6106486486486487
APE Weather ( Live Forecast),0.41770833334375,0.49748263890625,0.60909375
Doctor Pets,0.14198924729032256,0.49204301077419355,0.6088387096774193
Hairstyles step by step,0.48283491560759495,0.6061261804683544,0.5995443037974684
Blur Image Background,0.2799895833,0.5483333334,0.5971
Gold Butterfly Keyboard Theme,0.3972026064285714,0.5612352092285714,0.5970285714285715
Chakra Cleansing,0.4228053196666667,0.5716314241025641,0.5965641025641025
Easy Hair Style Design,0.4780041152222222,0.5049588477407407,0.5955555555555555
Goldstar: Live Event Tickets,0.5492664141,0.6354549062,0.5931
Golden Launcher,0.47625757574285715,0.5491125541142857,0.5908
Curso de Ingles Gratis,0.46818253968571427,0.5011190476,0.5856285714285714
Cookbook Recipes,0.5505571160263157,0.6257007101315789,0.584657894736842
Detector de Radares Gratis,0.4285853930967742,0.5178780896774194,0.5768387096774192
Dresses Ideas & Fashions +3000,0.41625,0.5388844797666666,0.5757666666666666
"CM Flashlight (Compass, SOS)",0.445,0.47571428579999997,0.5686
10 Best Foods for You,0.46590614321052637,0.49325376085263156,0.5638842105263158
Coloring & Learn,0.38403461699999997,0.5710606060833334,0.561
DELISH KITCHEN - 無料レシピ動画で料理を楽しく・簡単に！,0.3723771367307692,0.43258547007692305,0.5536538461538462
Free live weather on screen,0.3550507555833333,0.4944223985833333,0.5523611111111112
Happy Birthday Songs Offline,0.3125,0.548958333375,0.5508125
Candy Day,0.19114857457894738,0.46076023392105264,0.5502631578947369
"Eve Period Tracker - Love, Sex & Relationships App",0.4863316448148148,0.48319050288888893,0.5476296296296296
ABC Kids - Tracing & Phonics,0.35809201031578947,0.49616997034210525,0.5432105263157895
Hipmunk Hotels & Flights,0.5153104575294118,0.5957496887941176,0.5428823529411764
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,0.35822729277777776,0.5089069664722222,0.54
2RedBeans,0.374750486,0.5658613368648648,0.5383513513513514
DC Super Hero Girls™,0.32446590908571427,0.5569458874285714,0.5383428571428571
Goku Wallpaper Art,0.4514219576666667,0.5031084656111111,0.5361111111111111
Easy Healthy Recipes,0.4309037247,0.5697045454333334,0.5356333333333333
Daum Mail - 다음 메일,0.22166666666666668,0.30452380949999996,0.5348333333333333
Health and Nutrition Guide,0.38661165223863636,0.5043752254545454,0.5333295454545455
1LINE – One Line with One Touch,0.191257214974359,0.5430251693076923,0.532025641025641
Flippy Campus - Buy & sell on campus at a discount,0.3839901051142857,0.4784137291428571,0.5316857142857143
Fruits Bomb,0.21756410255223882,0.5189930156865672,0.5312686567164179
Farm Fruit Pop: Party Time,0.15987060546875,0.455811011875,0.53003125
Calls & Text by Mo+,0.39999999999999997,0.46785714285714286,0.5281428571428571
HD Camera for Android,0.3650190033783784,0.5316634491351352,0.5235675675675676
BeyondMenu Food Delivery,0.3982621083076923,0.6018423552051282,0.5222564102564102
All Events in City,0.48351898099999996,0.5402125652307692,0.5217307692307692
Candy Smash,0.1572673611,0.51621180555,0.5206
"GPS Speedometer, Distance Meter",0.3353110599354838,0.5792665130322581,0.5176774193548388
AutoScout24 Switzerland – Find your new car,0.40172959185714285,0.5350340136571429,0.5175428571428572
Goibibo - Flight Hotel Bus Car IRCTC Booking App,0.3801042836111111,0.5352232978055556,0.5164166666666667
English-Myanmar Dictionary,0.3750923710789474,0.3864031765,0.5162368421052632
All Language Translator Free,0.3861168831,0.5483658008666666,0.516
DIY On A Budget,0.43488432776470587,0.5412268695294118,0.5156176470588235
"Home workouts - fat burning, abs, legs, arms,chest",0.3984182098888889,0.5306267806666667,0.5116666666666667
High Blood Pressure Symptoms,0.3950761959722222,0.5376466049722223,0.5115000000000001
Crossy Road,0.2153018309120879,0.524352883868132,0.5114505494505495
Educational Games for Kids,0.3037786596111111,0.4942195767222223,0.5113333333333334
DIY Garden Ideas,0.4249264705882353,0.5973774510000001,0.5089411764705882
Home Workout for Men - Bodybuilding,0.4849879807692308,0.4585653235,0.5082307692307693
Garden Coloring Book,0.2655325329450549,0.5176952456813186,0.5076043956043956
Cheapflights – Flight Search,0.3961732456052632,0.5697744360789474,0.5061842105263158
GPS Speedometer and Odometer,0.4875,0.46666666675,0.5022500000000001
"APUS Launcher - Theme, Wallpaper, Hide Apps",0.4248924730967742,0.4991935484193548,0.5013870967741936
Google Trips - Travel Planner,0.15,0.0,0.5
"FastMeet: Chat, Dating, Love",0.28411435785714284,0.4938798701428571,0.49920000000000003
Bubble Shooter 2,0.26111111108333335,0.47986111108333335,0.49675
Haystack TV: Local & World News - Free,0.49640625,0.5171354166875,0.49575
All Video Downloader 2018,0.36180555553125,0.50475694446875,0.4956875
Block Puzzle Classic Legend !,0.16201809763888889,0.5249484428333333,0.4951944444444445
Butterfly Live Wallpaper,0.37681818179310345,0.4862878787931035,0.4947241379310345
Golden Dictionary (EN-AR),0.3314912280789474,0.4773976608157895,0.49234210526315786
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,0.40953703706666666,0.4952777778,0.49033333333333334
DraftKings - Daily Fantasy Sports,0.29011133158333335,0.5005550043888889,0.48980555555555555
Football Live Scores,0.39345372085714286,0.5157845805428571,0.48799999999999993
Baby Panda Care,0.172519919,0.49835423196551726,0.48782758620689654
Baritastic - Bariatric Tracker,0.41827673685000005,0.5710314927,0.48719999999999997
4 in a Row,0.26775573195238095,0.550574452047619,0.4847142857142857
"CM Launcher 3D - Theme, Wallpapers, Efficient",0.2676116427368421,0.56,0.48347368421052633
Easy Voice Recorder,0.424941125575,0.551535603575,0.48095
850 Sports News Digest,0.52928825435,0.67510975405,0.47932500000000006
Browser 4G,0.34729826675757575,0.4563246097575757,0.47833333333333333
Accounting App - Zoho Books,0.4174595543333333,0.49239316235897435,0.47828205128205126
Flashlight,0.37239402954545453,0.5652633477272727,0.4780909090909091
All Maths Formulas,0.3442060574117647,0.4093633287058824,0.4775294117647059
Gems or jewels ?,0.14149025161538462,0.430945535948718,0.47579487179487184
BaBe+ - Berita Indonesia,0.3482142857142857,0.4265873015714286,0.4757142857142857
"Hole19: Golf GPS App, Rangefinder & Scorecard",0.42145634914999996,0.5765208333,0.47569999999999996
Binaural Beats Meditation,0.35351810515,0.564320188475,0.4734
Fun Kid Racing - Motocross,0.1846407624516129,0.49701042683870966,0.47338709677419355
Dating for 50 plus Mature Singles – FINALLY,0.3325396825714285,0.5087301587142857,0.47328571428571425
"Cymera Camera- Photo Editor, Filter,Collage,Layout",0.42041666664864863,0.46741956240540544,0.47213513513513516
BEST CAR SOUNDS,0.2801346801111111,0.49851992144444446,0.47069444444444447
GPS Status & Toolbox,0.3870160934722222,0.3914969136388889,0.47052777777777777
Agoda – Hotel Booking Deals,0.46621031741666674,0.5875793650277777,0.4698055555555556
Babbel – Learn Spanish,0.301629971575,0.531091472775,0.46872499999999995
DC Comics,0.46586867710810814,0.5889858152162162,0.46845945945945944
BBVA Spain,0.4908432813030303,0.571904351969697,0.46575757575757576
BLK - Swipe. Match. Chat.,0.3076776352,0.5519399909,0.463475
Comptia A+ 220-901 & 220-902,0.4489190476,0.5174190476,0.46340000000000003
Fuelio: Gas log & costs,0.429501231875,0.5202711524545455,0.46307954545454544
Extreme Match,0.1962050854578313,0.46645196948192774,0.4620361445783133
1800 Contacts - Lens Store,0.318144773625,0.59109848485,0.46142500000000003
HESI A2 Pocket Prep,0.36691628261290327,0.45383384535483867,0.46074193548387093
Free Dating App & Flirt Chat - Match with Singles,0.2411111111111111,0.5281687242962962,0.4605925925925926
Fun Kid Racing,0.2618048127941176,0.5091532976764706,0.45994117647058824
Facetune - Ad Free,0.3961902350967742,0.5706743482903225,0.4588709677419355
Crew - Free Messaging and Scheduling,0.41386044126829263,0.5950057801219513,0.45799999999999996
Animated Photo Editor,0.2622058823529412,0.5153758169999999,0.45791176470588235
Cycling - Bike Tracker,0.32414682544,0.5934126984,0.45771999999999996
Edmodo,0.3929289922777778,0.4312370731111111,0.4573055555555556
Brasileirão Pro 2018 - Série A e B,0.5140244709444445,0.5187951939722222,0.4563888888888889
Cooking Channel,0.354918470375,0.520237824675,0.45600000000000007
A+ Mobile,0.32571470587058826,0.5165588701999999,0.4535882352941176
